Title,Art Latitude,Art Longitude,Venue_x,Venue Latitude,Venue Longitude,Venue Category,Super Category,Venue_y,cluster_label
Spur Line,47.6323,-122.34053300000001,Duvall Massage and Acupuncture,47.631228,-122.3425929,Acupuncturist,Service,Duvall Massage and Acupuncture,3
Activity in Growth,47.60665,-122.3327,The Capital Grille,47.608114799999996,-122.3350774,American Restaurant,Food,The Capital Grille,3
Astronomy by Day (and Other Oxymorons),47.6065,-122.33311699999999,The Capital Grille,47.608114799999996,-122.3350774,American Restaurant,Food,The Capital Grille,3
"Babe, The Phoenix Fairy, and The Magic Grove",47.6065,-122.33311699999999,The Capital Grille,47.608114799999996,-122.3350774,American Restaurant,Food,The Capital Grille,3
Braincast,47.6065,-122.33311699999999,The Capital Grille,47.608114799999996,-122.3350774,American Restaurant,Food,The Capital Grille,3
Copper,47.5822,-122.3236,Derby,47.58271778,-122.32661909999999,American Restaurant,Food,Derby,3
Fountain of Wisdom,47.6065,-122.33312,The Capital Grille,47.608114799999996,-122.3350774,American Restaurant,Food,The Capital Grille,3
LEW Floor,47.6065,-122.33311699999999,The Capital Grille,47.608114799999996,-122.3350774,American Restaurant,Food,The Capital Grille,3
Making Visible the Invisible,47.6065,-122.33311699999999,The Capital Grille,47.608114799999996,-122.3350774,American Restaurant,Food,The Capital Grille,3
Sculptural Screen,47.606167,-122.333483,The Capital Grille,47.608114799999996,-122.3350774,American Restaurant,Food,The Capital Grille,3
Skylight Aperture Sundial,47.64045,-122.3024,Traveler Montlake,47.63983043,-122.30223149999999,American Restaurant,Food,Traveler Montlake,3
Skytones,47.60885,-122.336367,The Capital Grille,47.608114799999996,-122.3350774,American Restaurant,Food,The Capital Grille,3
Untitled Mural,47.606167,-122.335017,The Capital Grille,47.608114799999996,-122.3350774,American Restaurant,Food,The Capital Grille,3
Waterfront Fountain,47.617983,-122.31946699999999,Cure Seattle | Capitol Hill Bar & Charcuterie,47.61591759,-122.3201908,American Restaurant,Food,Cure Seattle | Capitol Hill Bar & Charcuterie,3
Black Lightning,47.620367,-122.3483,Chihuly Glasshouse,47.620825,-122.350023,Art Gallery,Retail,Chihuly Glasshouse,3
Garthgoyles:  Designs for the Charlotte Martin Theatre,47.62085,-122.35211699999999,Chihuly Glasshouse,47.620825,-122.350023,Art Gallery,Retail,Chihuly Glasshouse,3
Homage in Green,47.63205,-122.3157,Judge Thomas Burke,47.632111,-122.31571299999999,Art Gallery,Retail,Judge Thomas Burke,3
Migrare,47.621767,-122.3515,Chihuly Glasshouse,47.620825,-122.350023,Art Gallery,Retail,Chihuly Glasshouse,3
Moses,47.6208,-122.348933,Chihuly Glasshouse,47.620825,-122.350023,Art Gallery,Retail,Chihuly Glasshouse,3
Neighbors,47.615117,-122.31701699999999,Ghost Gallery,47.61382323,-122.3176038,Art Gallery,Retail,Ghost Gallery,3
Neototems Children's Garden,47.620166999999995,-122.3517,Chihuly Glasshouse,47.620825,-122.350023,Art Gallery,Retail,Chihuly Glasshouse,3
Olympic Iliad,47.6193,-122.3501,Chihuly Glasshouse,47.620825,-122.350023,Art Gallery,Retail,Chihuly Glasshouse,3
Playform,47.632183000000005,-122.31323300000001,Judge Thomas Burke,47.632111,-122.31571299999999,Art Gallery,Retail,Judge Thomas Burke,3
Story of North Island (Totem Pole),47.646933000000004,-122.301033,Story of North Island (Totem Pole),47.646933000000004,-122.301033,Art Gallery,Retail,Story of North Island (Totem Pole),3
