Title,Art Latitude,Art Longitude,Venue_x,Venue Latitude,Venue Longitude,Venue Category,Super Category,Venue_y,cluster_label
Circulation,47.706033000000005,-122.322717,Sunglass Hut,47.705996,-122.32571999999999,Accessories Store,Retail,Sunglass Hut,2
In Transition is Unity,47.705883,-122.32256699999999,Sunglass Hut,47.705996,-122.32571999999999,Accessories Store,Retail,Sunglass Hut,2
In Transition is Unity,47.705883,-122.32256699999999,Claire's,47.705923999999996,-122.32578500000001,Accessories Store,Retail,Claire's,2
In Transition is Unity,47.705883,-122.32256699999999,Lids,47.705923999999996,-122.32578500000001,Accessories Store,Retail,Lids,2
Playground,47.67675,-122.30495,Ravenna's Varsity Restaurant,47.67586032,-122.3027106,American Restaurant,Food,Ravenna's Varsity Restaurant,2
Playground Artwork,47.6767,-122.30495,Ravenna's Varsity Restaurant,47.67586032,-122.3027106,American Restaurant,Food,Ravenna's Varsity Restaurant,2
Junior League of Seattle Playground Compass Rose,47.681683,-122.25835,Magnuson Park Amphitheater,47.68281347,-122.258692,Amphitheater,Recreation,Magnuson Park Amphitheater,2
People Waiting for the Interurban,47.64945,-122.349483,Fremont Vintage Mall,47.65026561,-122.35002649999998,Antique Shop,Retail,Fremont Vintage Mall,2
Pergola At Waiting For The Interurban,47.64945,-122.34955,Fremont Vintage Mall,47.65026561,-122.35002649999998,Antique Shop,Retail,Fremont Vintage Mall,2
Reality Relics,47.650133000000004,-122.34843300000001,Fremont Vintage Mall,47.65026561,-122.35002649999998,Antique Shop,Retail,Fremont Vintage Mall,2
Water Weaving Light Cycle,47.650067,-122.34883300000001,Fremont Vintage Mall,47.65026561,-122.35002649999998,Antique Shop,Retail,Fremont Vintage Mall,2
Duck Windvane,47.6673,-122.2813,Duck Windvane,47.666788000000004,-122.280349,Art Gallery,Retail,Duck Windvane,2
Meridian Archway,47.6649,-122.33368300000001,Meridian Archway,47.66482719,-122.33371840000001,Art Gallery,Retail,Meridian Archway,2
The Stairway In Fremont Project,47.655417,-122.350017,The Stairway In Fremont Project,47.65489672,-122.3499447,Art Gallery,Retail,The Stairway In Fremont Project,2
Wisteria Mural,47.6593,-122.319167,Artist & Craftsman Supply,47.66083216,-122.319678,Arts & Crafts Store,Retail,Artist & Craftsman Supply,2
Firefighter Silhouettes,47.6652,-122.316833,Itadakimasu,47.66434356,-122.31429070000002,Asian Restaurant,Food,Itadakimasu,2
Atala Kivliktwok Okitun Dukik (The Golden Money Moon),47.690783,-122.400833,Ballard Food Bank Turkey Trot,47.69014444,-122.3981582,Athletics & Sports,Recreation,Ballard Food Bank Turkey Trot,2
Aureole,47.7243,-122.348633,Bitter Lake Playfield,47.72415014,-122.34912859999999,Athletics & Sports,Recreation,Bitter Lake Playfield,2
Sasquatch Pushing over A House,47.664333,-122.3197,Woodland Park- CYO Cross Country,47.66424003,-122.32100049999998,Athletics & Sports,Recreation,Woodland Park- CYO Cross Country,2
Swimming Fish,47.724233,-122.348633,Bitter Lake Playfield,47.72415014,-122.34912859999999,Athletics & Sports,Recreation,Bitter Lake Playfield,2
