Title,Art Latitude,Art Longitude,Venue_x,Venue Latitude,Venue Longitude,Venue Category,Super Category,Venue_y,cluster_label
Untitled Stone Garden Lantern,47.54958,-122.25731999999999,Seward Park Clay Studio,47.549638,-122.25629099999999,Arts & Crafts Store,Retail,Seward Park Clay Studio,1
Wit and Wisdom,47.551266999999996,-122.2779,City Teriyaki,47.553251,-122.278975,Asian Restaurant,Food,City Teriyaki,1
.01 - Beacon Hill Discovery; .02 - Ravens Bill Downspouts,47.577833,-122.31126699999999,Despi Delite Bakery,47.57934704,-122.31360159999998,Bakery,Food,Despi Delite Bakery,1
A Place Called Home,47.560033000000004,-122.2869,Columbia City Bakery,47.5582613,-122.28535670000001,Bakery,Food,Columbia City Bakery,1
Spirit of Washington,47.560033000000004,-122.2873,Columbia City Bakery,47.5582613,-122.28535670000001,Bakery,Food,Columbia City Bakery,1
Periscope Tree,47.569783,-122.2863,Chase Bank,47.56907546,-122.287893,Bank,Service,Chase Bank,1
Bottle Cap Children,47.561533000000004,-122.28471699999999,Rainier Community Center Basketball Courts,47.56207366,-122.2849982,Basketball Court,Recreation,Rainier Community Center Basketball Courts,1
Clock Tower,47.561533000000004,-122.28471699999999,Rainier Community Center Basketball Courts,47.56207366,-122.2849982,Basketball Court,Recreation,Rainier Community Center Basketball Courts,1
Earth Story,47.5616,-122.28463300000001,Rainier Community Center Basketball Courts,47.56207366,-122.2849982,Basketball Court,Recreation,Rainier Community Center Basketball Courts,1
Garden Path,47.581717,-122.28816699999999,Mount Baker Beach,47.58324126,-122.28727590000001,Beach,Recreation,Mount Baker Beach,1
Japanese Lantern,47.5825,-122.28795,Mount Baker Beach,47.58324126,-122.28727590000001,Beach,Recreation,Mount Baker Beach,1
.01 - Beacon Hill Discovery; .02 - Ravens Bill Downspouts,47.577833,-122.31126699999999,Perihelion Brewery,47.57848696,-122.311889,Brewery,Retail,Perihelion Brewery,1
Common Ground,47.518917,-122.284567,Pinkerton Brew House,47.519898,-122.285669,Brewery,Retail,Pinkerton Brew House,1
The Unified Playing Field Theory,47.528166999999996,-122.32305,Burdick Brewery,47.530318,-122.32326100000002,Brewery,Retail,Burdick Brewery,1
.01 - Beacon Hill Discovery; .02 - Ravens Bill Downspouts,47.577833,-122.31126699999999,Fresh Flours Bakery & Cafe,47.57870264,-122.311427,Cafe,Food,Fresh Flours Bakery & Cafe,1
A Place Called Home,47.560033000000004,-122.2869,Island Soul Caribbean Bar and Cuisine,47.55813902,-122.2852937,Caribbean Restaurant,Food,Island Soul Caribbean Bar and Cuisine,1
Periscope Tree,47.569783,-122.2863,Magic Dragon,47.569002000000005,-122.287952,Chinese Restaurant,Food,Magic Dragon,1
The Unity and Oneness of all,47.56355,-122.28606699999999,Chiropractic P.S.,47.564397,-122.28690800000001,Chiropractor,Service,Chiropractic P.S.,1
Periscope Tree,47.569783,-122.2863,Ross Dress for Less,47.56864532,-122.2886881,Clothing Store,Retail,Ross Dress for Less,1
Sherwood Gillespie,47.567017,-122.3074,Jefferson Park Club House & Restaurant,47.56710152,-122.3076581,Club House,Food,Jefferson Park Club House & Restaurant,1
.01 - Beacon Hill Discovery; .02 - Ravens Bill Downspouts,47.577833,-122.31126699999999,The Station,47.5799605,-122.3122855,Coffee Shop,Food,The Station,1
