Title,Art Latitude,Art Longitude,Venue_x,Venue Latitude,Venue Longitude,Venue Category,Super Category,Venue_y,cluster_label
Paragon,47.558867,-122.3512,Story Viewers,47.5587,-122.350783,Art Gallery,Retail,Story Viewers,0
Longfellow Creek Legacy Trail Way Finding Signs,47.519767,-122.36848300000001,Chase Bank,47.521433,-122.36927299999999,Bank,Service,Chase Bank,0
JUMs,47.527683,-122.36881699999999,Denny Field,47.52726746,-122.36757659999998,Baseball Field,Recreation,Denny Field,0
Bronze Plaques and Medallion,47.579817,-122.40975,Alki Beach Park,47.57986887,-122.4090422,Beach,Recreation,Alki Beach Park,0
Little Liberty,47.579383,-122.410633,Alki Beach Park,47.57986887,-122.4090422,Beach,Recreation,Alki Beach Park,0
Whale's Tail,47.579383,-122.40715,Alki Beach Park,47.57986887,-122.4090422,Beach,Recreation,Alki Beach Park,0
Whale's Tail,47.579383,-122.40715,West Seattle Brewing Co.,47.58040898,-122.40688829999999,Brewery,Retail,West Seattle Brewing Co.,0
Alki / Duwamish Culture Trail,47.58215,-122.403517,Blue Moon Burgers Alki,47.580863,-122.40551200000002,Burger Joint,Food,Blue Moon Burgers Alki,0
Bronze Imbeds,47.58215,-122.403517,Blue Moon Burgers Alki,47.580863,-122.40551200000002,Burger Joint,Food,Blue Moon Burgers Alki,0
Pavers,47.58215,-122.403517,Blue Moon Burgers Alki,47.580863,-122.40551200000002,Burger Joint,Food,Blue Moon Burgers Alki,0
Longfellow Creek Legacy Trail Way Finding Signs,47.519767,-122.36848300000001,Taco Del Mar - Westwood,47.52134214,-122.3670896,Burrito Place,Food,Taco Del Mar - Westwood,0
American Youth and Freedom,47.530217,-122.393317,YMCA Outdoor Summer Camp,47.529672,-122.393225,Campground,Recreation,YMCA Outdoor Summer Camp,0
Bronze Plaques and Medallion,47.579817,-122.40975,Alki Cafe,47.5789806,-122.41043090000001,Coffee Shop,Food,Alki Cafe,0
Bronze Plaques and Medallion,47.579817,-122.40975,Starbucks,47.57883826,-122.411199,Coffee Shop,Food,Starbucks,0
Bronze Plaques and Medallion,47.579817,-122.40975,Ampersand Cafe,47.58044708,-122.406728,Coffee Shop,Food,Ampersand Cafe,0
Little Liberty,47.579383,-122.410633,Alki Cafe,47.5789806,-122.41043090000001,Coffee Shop,Food,Alki Cafe,0
Little Liberty,47.579383,-122.410633,Starbucks,47.57883826,-122.411199,Coffee Shop,Food,Starbucks,0
Longfellow Creek Legacy Trail Way Finding Signs,47.519767,-122.36848300000001,Barnes and Noble Cafe,47.5219477,-122.36815220000001,Coffee Shop,Food,Barnes and Noble Cafe,0
Mother Reading with Child,47.522566999999995,-122.37646699999999,Bird on a Wire Espresso,47.52287764,-122.37702140000002,Coffee Shop,Food,Bird on a Wire Espresso,0
Sky Legends,47.5481,-122.37601699999999,Nos Nos,47.546663,-122.376093,Coffee Shop,Food,Nos Nos,0
Whale's Tail,47.579383,-122.40715,Ampersand Cafe,47.58044708,-122.406728,Coffee Shop,Food,Ampersand Cafe,0
Whale's Tail,47.579383,-122.40715,Alki Cafe,47.5789806,-122.41043090000001,Coffee Shop,Food,Alki Cafe,0
Looking at a Watershed:  Waterprints,47.5354,-122.361733,ampm,47.537184,-122.361571,Convenience Store,Retail,ampm,0
Looking at a Watershed: Dream Forest,47.535767,-122.361617,ampm,47.537184,-122.361571,Convenience Store,Retail,ampm,0
Looking at a Watershed: Sanctuary Grove,47.5354,-122.361733,ampm,47.537184,-122.361571,Convenience Store,Retail,ampm,0
Looking at a Watershed: Streambed Memories,47.5354,-122.361733,ampm,47.537184,-122.361571,Convenience Store,Retail,ampm,0
Mother Reading with Child,47.522566999999995,-122.37646699999999,Super Deli Mart,47.52122466,-122.37725060000001,Convenience Store,Retail,Super Deli Mart,0
Mother Reading with Child,47.522566999999995,-122.37646699999999,7-Eleven,47.5206623,-122.37622479999999,Convenience Store,Retail,7-Eleven,0
The Forest Is Waiting,47.552966999999995,-122.363017,Super24,47.55255045,-122.3630394,Convenience Store,Retail,Super24,0
Longfellow Creek Legacy Trail Way Finding Signs,47.519767,-122.36848300000001,Sally Beauty,47.52134986,-122.3668844,Cosmetics Shop,Retail,Sally Beauty,0
