Title,Art Latitude,Art Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Super Category
Circulation,47.706033,-122.322717,Sunglass Hut,47.705996,-122.32572,Accessories Store,Retail
In Transition is Unity,47.705883,-122.322567,Sunglass Hut,47.705996,-122.32572,Accessories Store,Retail
In Transition is Unity,47.705883,-122.322567,Claire's,47.705924,-122.325785,Accessories Store,Retail
In Transition is Unity,47.705883,-122.322567,Lids,47.705924,-122.325785,Accessories Store,Retail
Spur Line,47.6323,-122.340533,Duvall Massage and Acupuncture,47.631228,-122.3425929,Acupuncturist,Service
Activity in Growth,47.60665,-122.3327,The Capital Grille,47.6081148,-122.3350774,American Restaurant,Food
Astronomy by Day (and Other Oxymorons),47.6065,-122.333117,The Capital Grille,47.6081148,-122.3350774,American Restaurant,Food
"Babe, The Phoenix Fairy, and The Magic Grove",47.6065,-122.333117,The Capital Grille,47.6081148,-122.3350774,American Restaurant,Food
Braincast,47.6065,-122.333117,The Capital Grille,47.6081148,-122.3350774,American Restaurant,Food
Copper,47.5822,-122.3236,Derby,47.58271778,-122.3266191,American Restaurant,Food
Fountain of Wisdom,47.6065,-122.33312,The Capital Grille,47.6081148,-122.3350774,American Restaurant,Food
LEW Floor,47.6065,-122.333117,The Capital Grille,47.6081148,-122.3350774,American Restaurant,Food
Making Visible the Invisible,47.6065,-122.333117,The Capital Grille,47.6081148,-122.3350774,American Restaurant,Food
Playground,47.67675,-122.30495,Ravenna's Varsity Restaurant,47.67586032,-122.3027106,American Restaurant,Food
Playground Artwork,47.6767,-122.30495,Ravenna's Varsity Restaurant,47.67586032,-122.3027106,American Restaurant,Food
Sculptural Screen,47.606167,-122.333483,The Capital Grille,47.6081148,-122.3350774,American Restaurant,Food
Skylight Aperture Sundial,47.64045,-122.3024,Traveler Montlake,47.63983043,-122.3022315,American Restaurant,Food
Skytones,47.60885,-122.336367,The Capital Grille,47.6081148,-122.3350774,American Restaurant,Food
Untitled Mural,47.606167,-122.335017,The Capital Grille,47.6081148,-122.3350774,American Restaurant,Food
Waterfront Fountain,47.617983,-122.319467,Cure Seattle | Capitol Hill Bar & Charcuterie,47.61591759,-122.3201908,American Restaurant,Food
Junior League of Seattle Playground Compass Rose,47.681683,-122.25835,Magnuson Park Amphitheater,47.68281347,-122.258692,Amphitheater,Recreation
People Waiting for the Interurban,47.64945,-122.349483,Fremont Vintage Mall,47.65026561,-122.3500265,Antique Shop,Retail
Pergola At Waiting For The Interurban,47.64945,-122.34955,Fremont Vintage Mall,47.65026561,-122.3500265,Antique Shop,Retail
Reality Relics,47.650133,-122.348433,Fremont Vintage Mall,47.65026561,-122.3500265,Antique Shop,Retail
Water Weaving Light Cycle,47.650067,-122.348833,Fremont Vintage Mall,47.65026561,-122.3500265,Antique Shop,Retail
Black Lightning,47.620367,-122.3483,Chihuly Glasshouse,47.620825,-122.350023,Art Gallery,Retail
Duck Windvane,47.6673,-122.2813,Duck Windvane,47.666788,-122.280349,Art Gallery,Retail
Garthgoyles:  Designs for the Charlotte Martin Theatre,47.62085,-122.352117,Chihuly Glasshouse,47.620825,-122.350023,Art Gallery,Retail
Homage in Green,47.63205,-122.3157,Judge Thomas Burke,47.632111,-122.315713,Art Gallery,Retail
Meridian Archway,47.6649,-122.333683,Meridian Archway,47.66482719,-122.3337184,Art Gallery,Retail
Migrare,47.621767,-122.3515,Chihuly Glasshouse,47.620825,-122.350023,Art Gallery,Retail
Moses,47.6208,-122.348933,Chihuly Glasshouse,47.620825,-122.350023,Art Gallery,Retail
Neighbors,47.615117,-122.317017,Ghost Gallery,47.61382323,-122.3176038,Art Gallery,Retail
Neototems Children's Garden,47.620167,-122.3517,Chihuly Glasshouse,47.620825,-122.350023,Art Gallery,Retail
Olympic Iliad,47.6193,-122.3501,Chihuly Glasshouse,47.620825,-122.350023,Art Gallery,Retail
Paragon,47.558867,-122.3512,Story Viewers,47.5587,-122.350783,Art Gallery,Retail
Playform,47.632183,-122.313233,Judge Thomas Burke,47.632111,-122.315713,Art Gallery,Retail
Story of North Island (Totem Pole),47.646933,-122.301033,Story of North Island (Totem Pole),47.646933,-122.301033,Art Gallery,Retail
Story of North Island (Totem Pole),47.646933,-122.301033,Water Into Electricity (That Man May Use It Freely),47.645342,-122.301291,Art Gallery,Retail
Sundial,47.645267,-122.33635,Sundial,47.645267,-122.33635,Art Gallery,Retail
The Stairway In Fremont Project,47.655417,-122.350017,The Stairway In Fremont Project,47.65489672,-122.3499447,Art Gallery,Retail
Tree Bench,47.601517,-122.3071,Pratt Fine Arts Center,47.59973069,-122.3072094,Art Gallery,Retail
Twine and Branch,47.62135,-122.352067,Chihuly Glasshouse,47.620825,-122.350023,Art Gallery,Retail
Untitled Bird-Bath,47.6312,-122.316733,Judge Thomas Burke,47.632111,-122.315713,Art Gallery,Retail
Water Into Electricity (That Man May Use It Freely),47.645417,-122.30115,Story of North Island (Totem Pole),47.646933,-122.301033,Art Gallery,Retail
