Title,Art Latitude,Art Longitude,Venue_x,Venue Latitude,Venue Longitude,Venue Category,Super Category,Venue_y,cluster_label
Circulation,47.706033000000005,-122.322717,Sunglass Hut,47.705996,-122.32571999999999,Accessories Store,Retail,Sunglass Hut,2
In Transition is Unity,47.705883,-122.32256699999999,Sunglass Hut,47.705996,-122.32571999999999,Accessories Store,Retail,Sunglass Hut,2
In Transition is Unity,47.705883,-122.32256699999999,Claire's,47.705923999999996,-122.32578500000001,Accessories Store,Retail,Claire's,2
In Transition is Unity,47.705883,-122.32256699999999,Lids,47.705923999999996,-122.32578500000001,Accessories Store,Retail,Lids,2
Spur Line,47.6323,-122.34053300000001,Duvall Massage and Acupuncture,47.631228,-122.3425929,Acupuncturist,Service,Duvall Massage and Acupuncture,3
Activity in Growth,47.60665,-122.3327,The Capital Grille,47.608114799999996,-122.3350774,American Restaurant,Food,The Capital Grille,3
Astronomy by Day (and Other Oxymorons),47.6065,-122.33311699999999,The Capital Grille,47.608114799999996,-122.3350774,American Restaurant,Food,The Capital Grille,3
"Babe, The Phoenix Fairy, and The Magic Grove",47.6065,-122.33311699999999,The Capital Grille,47.608114799999996,-122.3350774,American Restaurant,Food,The Capital Grille,3
Braincast,47.6065,-122.33311699999999,The Capital Grille,47.608114799999996,-122.3350774,American Restaurant,Food,The Capital Grille,3
Copper,47.5822,-122.3236,Derby,47.58271778,-122.32661909999999,American Restaurant,Food,Derby,3
Fountain of Wisdom,47.6065,-122.33312,The Capital Grille,47.608114799999996,-122.3350774,American Restaurant,Food,The Capital Grille,3
LEW Floor,47.6065,-122.33311699999999,The Capital Grille,47.608114799999996,-122.3350774,American Restaurant,Food,The Capital Grille,3
Making Visible the Invisible,47.6065,-122.33311699999999,The Capital Grille,47.608114799999996,-122.3350774,American Restaurant,Food,The Capital Grille,3
Playground,47.67675,-122.30495,Ravenna's Varsity Restaurant,47.67586032,-122.3027106,American Restaurant,Food,Ravenna's Varsity Restaurant,2
Playground Artwork,47.6767,-122.30495,Ravenna's Varsity Restaurant,47.67586032,-122.3027106,American Restaurant,Food,Ravenna's Varsity Restaurant,2
Sculptural Screen,47.606167,-122.333483,The Capital Grille,47.608114799999996,-122.3350774,American Restaurant,Food,The Capital Grille,3
Skylight Aperture Sundial,47.64045,-122.3024,Traveler Montlake,47.63983043,-122.30223149999999,American Restaurant,Food,Traveler Montlake,3
Skytones,47.60885,-122.336367,The Capital Grille,47.608114799999996,-122.3350774,American Restaurant,Food,The Capital Grille,3
Untitled Mural,47.606167,-122.335017,The Capital Grille,47.608114799999996,-122.3350774,American Restaurant,Food,The Capital Grille,3
Waterfront Fountain,47.617983,-122.31946699999999,Cure Seattle | Capitol Hill Bar & Charcuterie,47.61591759,-122.3201908,American Restaurant,Food,Cure Seattle | Capitol Hill Bar & Charcuterie,3
Junior League of Seattle Playground Compass Rose,47.681683,-122.25835,Magnuson Park Amphitheater,47.68281347,-122.258692,Amphitheater,Recreation,Magnuson Park Amphitheater,2
People Waiting for the Interurban,47.64945,-122.349483,Fremont Vintage Mall,47.65026561,-122.35002649999998,Antique Shop,Retail,Fremont Vintage Mall,2
